Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2004 12:00:00 AM,Northern,F,50 to 59,"11,277","4,043",35.85
01/01/2004 12:00:00 AM,Northern,F,60 to 69,"7,298","4,068",55.74
01/01/2004 12:00:00 AM,Northern,F,70 to 79,"5,490","3,891",70.87
01/01/2004 12:00:00 AM,Northern,F,80 +,"4,729","3,672",77.65
01/01/2004 12:00:00 AM,Northern,M,20 to 29,"8,019",129,1.61
01/01/2004 12:00:00 AM,Northern,M,30 to 39,"9,594",674,7.03
01/01/2004 12:00:00 AM,Northern,M,40 to 49,"12,228","1,998",16.34
01/01/2004 12:00:00 AM,Northern,M,50 to 59,"11,304","3,606",31.9
01/01/2004 12:00:00 AM,Northern,M,60 to 69,"7,432","3,704",49.84
01/01/2004 12:00:00 AM,Northern,M,70 to 79,"4,545","2,952",64.95
01/01/2004 12:00:00 AM,Northern,M,80 +,"2,477","1,728",69.76
01/01/2004 12:00:00 AM,Unknown,F,20 to 29,"11,999",124,1.03
01/01/2004 12:00:00 AM,Unknown,F,30 to 39,"8,789",360,4.1
01/01/2004 12:00:00 AM,Unknown,F,40 to 49,"7,237",729,10.07
01/01/2004 12:00:00 AM,Unknown,F,50 to 59,"5,158","1,377",26.7
01/01/2004 12:00:00 AM,Unknown,F,60 to 69,"3,033","1,373",45.27
01/01/2004 12:00:00 AM,Unknown,F,70 to 79,"1,963","1,276",65
01/01/2004 12:00:00 AM,Unknown,F,80 +,"1,596","1,173",73.5
01/01/2004 12:00:00 AM,Unknown,M,20 to 29,"11,699",120,1.03
01/01/2004 12:00:00 AM,Unknown,M,30 to 39,"8,275",353,4.27
01/01/2004 12:00:00 AM,Unknown,M,40 to 49,"6,954",713,10.25
01/01/2004 12:00:00 AM,Unknown,M,50 to 59,"4,802","1,173",24.43
01/01/2004 12:00:00 AM,Unknown,M,60 to 69,"2,810","1,147",40.82
01/01/2004 12:00:00 AM,Unknown,M,70 to 79,"1,544",855,55.38
01/01/2004 12:00:00 AM,Unknown,M,80 +,802,486,60.6
01/01/2004 12:00:00 AM,Western,F,20 to 29,"9,833",213,2.17
01/01/2004 12:00:00 AM,Western,F,30 to 39,"12,455",829,6.66
01/01/2004 12:00:00 AM,Western,F,40 to 49,"17,280","2,562",14.83
01/01/2004 12:00:00 AM,Western,F,50 to 59,"15,595","5,090",32.64
01/01/2004 12:00:00 AM,Western,F,60 to 69,"10,608","5,415",51.05
01/01/2004 12:00:00 AM,Western,F,70 to 79,"7,697","5,189",67.42
01/01/2004 12:00:00 AM,Western,F,80 +,"6,433","4,614",71.72
01/01/2004 12:00:00 AM,Western,M,20 to 29,"9,784",151,1.54
