Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2003 12:00:00 AM,Northern,M,30 to 39,"9,905",376,3.8
01/01/2003 12:00:00 AM,Northern,M,40 to 49,"12,166",487,4
01/01/2003 12:00:00 AM,Northern,M,50 to 59,"10,946",405,3.7
01/01/2003 12:00:00 AM,Northern,M,60 to 69,"7,112",267,3.75
01/01/2003 12:00:00 AM,Northern,M,70 to 79,"4,510",203,4.5
01/01/2003 12:00:00 AM,Northern,M,80 +,"2,398",123,5.13
01/01/2003 12:00:00 AM,Unknown,F,0 to 9,"6,345",524,8.26
01/01/2003 12:00:00 AM,Unknown,F,10 to 19,"12,671","1,673",13.2
01/01/2003 12:00:00 AM,Unknown,F,20 to 29,"12,041","1,009",8.38
01/01/2003 12:00:00 AM,Unknown,F,30 to 39,"9,096",564,6.2
01/01/2003 12:00:00 AM,Unknown,F,40 to 49,"7,260",486,6.69
01/01/2003 12:00:00 AM,Unknown,F,50 to 59,"5,053",357,7.07
01/01/2003 12:00:00 AM,Unknown,F,60 to 69,"2,966",208,7.01
01/01/2003 12:00:00 AM,Unknown,F,70 to 79,"2,021",122,6.04
01/01/2003 12:00:00 AM,Unknown,F,80 +,"1,620",89,5.49
01/01/2003 12:00:00 AM,Unknown,M,0 to 9,"6,325",739,11.68
01/01/2003 12:00:00 AM,Unknown,M,10 to 19,"12,380","1,976",15.96
01/01/2003 12:00:00 AM,Unknown,M,20 to 29,"11,788",785,6.66
01/01/2003 12:00:00 AM,Unknown,M,30 to 39,"8,546",265,3.1
01/01/2003 12:00:00 AM,Unknown,M,40 to 49,"6,974",225,3.23
01/01/2003 12:00:00 AM,Unknown,M,50 to 59,"4,683",145,3.1
01/01/2003 12:00:00 AM,Unknown,M,60 to 69,"2,789",134,4.8
01/01/2003 12:00:00 AM,Unknown,M,70 to 79,"1,554",70,4.5
01/01/2003 12:00:00 AM,Unknown,M,80 +,803,39,4.86
01/01/2003 12:00:00 AM,Western,F,0 to 9,"9,015",816,9.05
01/01/2003 12:00:00 AM,Western,F,10 to 19,"9,664","1,366",14.13
01/01/2003 12:00:00 AM,Western,F,20 to 29,"9,884","1,004",10.16
01/01/2003 12:00:00 AM,Western,F,30 to 39,"12,881",991,7.69
01/01/2003 12:00:00 AM,Western,F,40 to 49,"17,201","1,259",7.32
01/01/2003 12:00:00 AM,Western,F,50 to 59,"15,074","1,214",8.05
01/01/2003 12:00:00 AM,Western,F,60 to 69,"10,284",751,7.3
01/01/2003 12:00:00 AM,Western,F,70 to 79,"7,637",534,6.99
